Logo,Payment method name,Category,Payer's country,Country of business registration
https://fondy.ua/uploads/2021/12/american_express.svg,Amex,Bank cards,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,   Estonia, Ireland, Spain, Italy , Cyprus , Latvia, Lithuania, Luxembourg , Malta, Netherlands, Germany, Poland, Portugal , Romania , Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Swedenyet"
https://fondy.ua/uploads/2021/12/bancontact.svg,Bancontact,Bank cards,Belgium,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Diners-Club.svg,Diners Club,Bank cards,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/JCB.svg,JCB,Bank cards,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Maestro.svg,Maestro,Bank cards,Globally,"Austria,  Belgium,  Belarus,  Bulgaria,  United Kingdom,  Greece,  Denmark, Estonia, Ireland, Spain, Italy, Kazakhstan, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Mastercard-1.svg,Mastercard,Bank cards,Globally,"Austria,  Belgium,  Belarus,  Bulgaria,  United Kingdom,  Greece,   etcDenmark, Estonia, Ireland, Spain, Italy, Kazakhstan, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Visa-3.svg,Visa,Bank cards,Globally,"Austria,  Belgium,  Belarus,  Bulgaria,  United Kingdom,  Greece,   etcDenmark, Estonia, Ireland, Spain, Italy, Kazakhstan, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/alipay.svg,Alipay,Electronic wallets,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Apple-pay.svg,Apple Pay,Electronic wallets,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Google-pay.svg,Google Pay,Electronic wallets,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Masterpass.svg,Masterpass,Electronic wallets,Globally,Ukraine
https://fondy.ua/uploads/2021/12/paypal.svg,PayPal,Electronic wallets,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/skrill.svg,Skrill,Electronic wallets,Globally,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/viamo.svg,Viamo,Electronic wallets,Slovakia,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/visacheckout.svg,Visa Checkout,Electronic wallets,Globally,Ukraine
https://fondy.ua/uploads/2021/12/wechatpay.svg,WeChat Pay,Electronic wallets,China,"Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
https://fondy.ua/uploads/2021/12/Klarna.svg,Klarna: Pay later,Online installment,"Austria,  Belgium,  United Kingdom,  Spain,  Italy,  Netherlands,  Germany, Poland, Switzerland","Austria,  Belgium,  Bulgaria,  United Kingdom,  Greece,  Denmark,  Estonia, Ireland, Spain, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Germany, Poland, Portugal, Romania, Slovakia, Slovenia, Hungary, Finland, France, Croatia, Czech Republic, Sweden"
